intervalid,location_id,street1,street2,street3,latitude,longitude,date,weekday,period_begin,period_end,interval_begin,ns,sn,ew,we,female,sidewalk,wrongway,count_method,count_bikesonsidewalks,raining,unusual,bikewaytype,bikewaytype_options,road_class,speed_limit,landuse,pk_dataset_id,city,createdatetime,total_count,no_helmet,child
15549,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,04-14-2016,Thursday,7:00 AM,9:00 AM,7:00 AM,0,0,0,1,1,1,0,manual_in_house,1,no,none,none,none,majorArterial,40,residentialCommercial,109,Glendora,2016-04-20 16:57:00,1,0,0
15550,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,04-14-2016,Thursday,7:00 AM,9:00 AM,7:15 AM,0,0,0,0,0,0,0,manual_in_house,1,no,none,none,none,majorArterial,40,residentialCommercial,109,Glendora,2016-04-20 16:57:00,0,0,0
15551,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,04-14-2016,Thursday,7:00 AM,9:00 AM,7:30 AM,0,0,4,1,0,4,0,manual_in_house,1,no,none,none,none,majorArterial,40,residentialCommercial,109,Glendora,2016-04-20 16:57:00,5,2,0
15552,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,04-14-2016,Thursday,7:00 AM,9:00 AM,7:45 AM,0,0,1,0,0,0,0,manual_in_house,1,no,none,none,none,majorArterial,40,residentialCommercial,109,Glendora,2016-04-20 16:57:00,1,0,0
15553,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,04-14-2016,Thursday,7:00 AM,9:00 AM,8:00 AM,0,0,1,0,0,0,0,manual_in_house,1,no,none,none,none,majorArterial,40,residentialCommercial,109,Glendora,2016-04-20 16:57:00,1,0,0
15554,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,04-14-2016,Thursday,7:00 AM,9:00 AM,8:15 AM,0,0,0,1,0,1,0,manual_in_house,1,no,none,none,none,majorArterial,40,residentialCommercial,109,Glendora,2016-04-20 16:57:00,1,1,0
15555,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,04-14-2016,Thursday,7:00 AM,9:00 AM,8:30 AM,0,0,1,1,0,2,0,manual_in_house,1,no,none,none,none,majorArterial,40,residentialCommercial,109,Glendora,2016-04-20 16:57:00,2,1,0
15556,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,04-14-2016,Thursday,7:00 AM,9:00 AM,8:45 AM,0,0,0,0,0,0,0,manual_in_house,1,no,none,none,none,majorArterial,40,residentialCommercial,109,Glendora,2016-04-20 16:57:00,0,0,0
15677,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.85486670000002,04-14-2016,Thursday,7:00 AM,9:00 AM,7:00 AM,0,0,0,0,0,0,0,manual_in_house,1,no,none,bikeroute,none,local,25,residential,109,Glendora,2016-05-11 14:21:00,0,0,0
15678,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.85486670000002,04-14-2016,Thursday,7:00 AM,9:00 AM,7:15 AM,0,0,0,0,0,0,0,manual_in_house,1,no,none,bikeroute,none,local,25,residential,109,Glendora,2016-05-11 14:21:00,0,0,0
15679,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.85486670000002,04-14-2016,Thursday,7:00 AM,9:00 AM,7:30 AM,2,0,0,0,0,2,0,manual_in_house,1,no,none,bikeroute,none,local,25,residential,109,Glendora,2016-05-11 14:21:00,2,0,0
15680,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.85486670000002,04-14-2016,Thursday,7:00 AM,9:00 AM,7:45 AM,0,1,0,0,0,0,0,manual_in_house,1,no,none,bikeroute,none,local,25,residential,109,Glendora,2016-05-11 14:21:00,1,1,0
15681,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.85486670000002,04-14-2016,Thursday,7:00 AM,9:00 AM,8:00 AM,2,0,0,0,0,0,0,manual_in_house,1,no,none,bikeroute,none,local,25,residential,109,Glendora,2016-05-11 14:21:00,2,1,0
15682,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.85486670000002,04-14-2016,Thursday,7:00 AM,9:00 AM,8:15 AM,0,1,0,0,1,0,0,manual_in_house,1,no,none,bikeroute,none,local,25,residential,109,Glendora,2016-05-11 14:21:00,1,0,0
15683,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.85486670000002,04-14-2016,Thursday,7:00 AM,9:00 AM,8:30 AM,0,0,0,0,0,0,0,manual_in_house,1,no,none,bikeroute,none,local,25,residential,109,Glendora,2016-05-11 14:21:00,0,0,0
