intervalid,location_id,street1,street2,street3,latitude,longitude,date,weekday,period_begin,period_end,interval_begin,ns,sn,ew,we,female,sidewalk,wrongway,other_var1,other_var2,other_var1_count,other_var2_count,count_method,count_bikesonsidewalks,raining,unusual,bikewaytype,bikewaytype_options,road_class,speed_limit,landuse,pk_dataset_id,dataset_name,createdatetime
19203.0,1025.0,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.035943200000006,-118.03999270000001,12-03-2016,Saturday,11:00 AM,1:00 AM,11:00 AM,0,0,0,1,0,0,1.0,No Helmet,Child,1,0,manual_in_house,Yes,no,,none,,minorArterial,40.0,neighborhoodRetail,133.0,BikeSGV SEM,2017-07-17 15:08:00
19204.0,1025.0,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.035943200000006,-118.03999270000001,12-03-2016,Saturday,11:00 AM,1:00 AM,11:15 AM,0,0,1,0,0,0,0.0,No Helmet,Child,0,0,manual_in_house,Yes,no,,none,,minorArterial,40.0,neighborhoodRetail,133.0,BikeSGV SEM,2017-07-17 15:08:00
19205.0,1025.0,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.035943200000006,-118.03999270000001,12-03-2016,Saturday,11:00 AM,1:00 AM,11:30 AM,0,0,1,0,0,0,0.0,No Helmet,Child,0,0,manual_in_house,Yes,no,,none,,minorArterial,40.0,neighborhoodRetail,133.0,BikeSGV SEM,2017-07-17 15:08:00
19206.0,1025.0,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.035943200000006,-118.03999270000001,12-03-2016,Saturday,11:00 AM,1:00 AM,11:45 AM,0,0,2,0,0,0,0.0,No Helmet,Child,0,0,manual_in_house,Yes,no,,none,,minorArterial,40.0,neighborhoodRetail,133.0,BikeSGV SEM,2017-07-17 15:08:00
19207.0,1025.0,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.035943200000006,-118.03999270000001,12-03-2016,Saturday,11:00 AM,1:00 AM,12:00 PM,0,0,0,0,0,0,0.0,No Helmet,Child,0,0,manual_in_house,Yes,no,,none,,minorArterial,40.0,neighborhoodRetail,133.0,BikeSGV SEM,2017-07-17 15:08:00
19208.0,1025.0,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.035943200000006,-118.03999270000001,12-03-2016,Saturday,11:00 AM,1:00 AM,12:15 PM,0,0,0,0,0,0,0.0,No Helmet,Child,0,0,manual_in_house,Yes,no,,none,,minorArterial,40.0,neighborhoodRetail,133.0,BikeSGV SEM,2017-07-17 15:08:00
19209.0,1025.0,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.035943200000006,-118.03999270000001,12-03-2016,Saturday,11:00 AM,1:00 AM,12:30 PM,0,0,1,0,0,0,0.0,No Helmet,Child,1,0,manual_in_house,Yes,no,,none,,minorArterial,40.0,neighborhoodRetail,133.0,BikeSGV SEM,2017-07-17 15:08:00
19210.0,1025.0,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.035943200000006,-118.03999270000001,12-03-2016,Saturday,11:00 AM,1:00 AM,12:45 PM,0,0,0,0,0,0,0.0,No Helmet,Child,0,0,manual_in_house,Yes,no,,none,,minorArterial,40.0,neighborhoodRetail,133.0,BikeSGV SEM,2017-07-17 15:08:00
19187.0,1025.0,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.035943200000006,-118.03999270000001,12-22-2016,Thursday,4:00 PM,6:00 PM,4:00 PM,0,0,0,0,0,0,0.0,No Helmet,Child,0,0,manual_in_house,Yes,no,,none,,minorArterial,40.0,neighborhoodRetail,133.0,BikeSGV SEM,2017-07-17 14:22:00
19188.0,1025.0,Durfee Ave. ,Santa Anita Ave.,Peck Rd. ,34.035943200000006,-118.03999270000001,12-22-2016,Thursday,4:00 PM,6:00 PM,4:15 PM,0,0,1,2,0,3,0.0,No Helmet,Child,3,1,manual_in_house,Yes,no,,none,,minorArterial,40.0,neighborhoodRetail,133.0,BikeSGV SEM,2017-07-17 14:22:00
