intervalid,location_id,street1,street2,street3,latitude,longitude,date,weekday,period_begin,period_end,interval_begin,ns,sn,ew,we,female,sidewalk,wrongway,other_var1,other_var2,other_var1_count,other_var2_count,count_method,count_bikesonsidewalks,raining,unusual,bikewaytype,bikewaytype_options,road_class,speed_limit,landuse,pk_dataset_id,dataset_name,createdatetime
15549,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.87038059999999,04-14-2016,Thursday,7:00 AM,9:00 AM,7:00 AM,0,0,0,1,1,1,0,  No Helmet,,0,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,2016-04-20 16:57:00
15550,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.87038059999999,04-14-2016,Thursday,7:00 AM,9:00 AM,7:15 AM,0,0,0,0,0,0,0,  No Helmet,,0,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,2016-04-20 16:57:00
15551,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.87038059999999,04-14-2016,Thursday,7:00 AM,9:00 AM,7:30 AM,0,0,4,1,0,4,0,  No Helmet,,2,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,2016-04-20 16:57:00
15552,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.87038059999999,04-14-2016,Thursday,7:00 AM,9:00 AM,7:45 AM,0,0,1,0,0,0,0,  No Helmet,,0,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,2016-04-20 16:57:00
15553,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.87038059999999,04-14-2016,Thursday,7:00 AM,9:00 AM,8:00 AM,0,0,1,0,0,0,0,  No Helmet,,0,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,2016-04-20 16:57:00
15554,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.87038059999999,04-14-2016,Thursday,7:00 AM,9:00 AM,8:15 AM,0,0,0,1,0,1,0,  No Helmet,,1,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,2016-04-20 16:57:00
15555,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.87038059999999,04-14-2016,Thursday,7:00 AM,9:00 AM,8:30 AM,0,0,1,1,0,2,0,  No Helmet,,1,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,2016-04-20 16:57:00
15556,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.87038059999999,04-14-2016,Thursday,7:00 AM,9:00 AM,8:45 AM,0,0,0,0,0,0,0,  No Helmet,,0,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,2016-04-20 16:57:00
15677,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.85486670000002,04-14-2016,Thursday,7:00 AM,9:00 AM,7:00 AM,0,0,0,0,0,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,2016-05-11 14:21:00
15678,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.85486670000002,04-14-2016,Thursday,7:00 AM,9:00 AM,7:15 AM,0,0,0,0,0,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,2016-05-11 14:21:00
