IntervalID,location_ID,street1,street2,street3,latitude,longitude,type,Date,Day,period_begin,period_end,Interval_Begin,NS,SN,EW,WE,Female,Sidewalk,Wrongway,Other_Var1,Other_Var2,Other_Var1_Count,Other_Var2_Count,Count_Method,Count_BikesOnSidewalks,raining,unusual,bikewaytype,bikewaytype_options,road_class,speed_limit,landuse,pk_dataset_id,dataset_name,pk_physicalenv_id,pk_countocc_id,createdatetime,username
15549,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:00 AM,0,0,0,1,1,1,0,  No Helmet,,0,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
15550,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:15 AM,0,0,0,0,0,0,0,  No Helmet,,0,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
15551,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:30 AM,0,0,4,1,0,4,0,  No Helmet,,2,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
15552,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:45 AM,0,0,1,0,0,0,0,  No Helmet,,0,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
15553,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:00 AM,0,0,1,0,0,0,0,  No Helmet,,0,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
15554,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:15 AM,0,0,0,1,0,1,0,  No Helmet,,1,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
15555,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:30 AM,0,0,1,1,0,2,0,  No Helmet,,1,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
15556,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:45 AM,0,0,0,0,0,0,0,  No Helmet,,0,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2347,2016-04-20 16:57:00,wes@bikesgv.org
15677,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:00 AM,0,0,0,0,0,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
15678,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:15 AM,0,0,0,0,0,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
15679,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:30 AM,2,0,0,0,0,2,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
15680,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,7:45 AM,0,1,0,0,0,0,0,No Helmet,,1,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
15681,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:00 AM,2,0,0,0,0,0,0,No Helmet,,1,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
15682,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:15 AM,0,1,0,0,1,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
15683,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:30 AM,0,0,0,0,0,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
15684,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,7:00 AM,9:00 AM,8:45 AM,0,1,0,0,0,0,0,No Helmet,,1,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1262,2370,2016-05-11 14:21:00,wes@bikesgv.org
15533,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,4:00 PM,0,0,0,0,0,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
15534,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,4:15 PM,0,0,0,0,0,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
15535,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,4:30 PM,0,0,0,0,0,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
15536,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,4:45 PM,0,0,0,0,0,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
15537,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,5:00 PM,0,0,0,0,0,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
15538,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,5:15 PM,0,0,0,0,0,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
15539,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,5:30 PM,0,0,0,0,0,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
15540,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,5:45 PM,0,0,0,0,0,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2345,2016-04-20 16:19:00,wes@bikesgv.org
15557,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,4:00 PM,0,0,0,0,0,0,0,  No Helmet,,0,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2348,2016-04-20 17:05:00,wes@bikesgv.org
15558,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,4:15 PM,0,0,1,2,0,0,0,  No Helmet,,2,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2348,2016-04-20 17:05:00,wes@bikesgv.org
15559,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,4:30 PM,0,0,0,0,0,0,0,  No Helmet,,0,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2348,2016-04-20 17:05:00,wes@bikesgv.org
15560,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,4:45 PM,0,0,1,1,1,0,0,  No Helmet,,2,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2348,2016-04-20 17:05:00,wes@bikesgv.org
15561,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,5:00 PM,0,0,0,6,3,4,0,  No Helmet,,2,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2348,2016-04-20 17:05:00,wes@bikesgv.org
15562,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,5:15 PM,0,0,0,2,0,0,0,  No Helmet,,0,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2348,2016-04-20 17:05:00,wes@bikesgv.org
15563,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,5:30 PM,0,0,0,0,0,0,0,  No Helmet,,0,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2348,2016-04-20 17:05:00,wes@bikesgv.org
15564,1377,W Foothill Blvd,N Grand Ave,S Washington Ave,34.1360802,-117.8703806,midblock,04-14-2016,Thursday,4:00 PM,6:00 PM,5:45 PM,0,0,0,1,0,1,0,  No Helmet,,1,0,manual_in_house,Yes,no,,none,,majorArterial,40,residentialCommercial,109,BikeSGV Glendora 2016,1246,2348,2016-04-20 17:05:00,wes@bikesgv.org
15541,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-16-2016,Saturday,11:00 AM,1:00 PM,11:00 AM,1,0,0,0,0,0,0,No Helmet,,1,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2346,2016-04-20 16:28:00,wes@bikesgv.org
15542,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-16-2016,Saturday,11:00 AM,1:00 PM,11:15 AM,0,0,0,0,0,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2346,2016-04-20 16:28:00,wes@bikesgv.org
15543,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-16-2016,Saturday,11:00 AM,1:00 PM,11:30 AM,0,3,0,0,1,0,0,No Helmet,,0,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2346,2016-04-20 16:28:00,wes@bikesgv.org
15544,1376,N Live Oak,E Whitcomb Ave,E Cypress Ave,34.1413638,-117.8548667,midblock,04-16-2016,Saturday,11:00 AM,1:00 PM,11:45 AM,1,0,0,0,0,1,0,No Helmet,,1,0,manual_in_house,Yes,no,,bikeroute,,local,25,residential,109,BikeSGV Glendora 2016,1245,2346,2016-04-20 16:28:00,wes@bikesgv.org
